id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Steps,City Bloom,pop,happy,0.79,122,0.86,0.81,0.24
12,Deep Work Drift,Quiet Circuit,lofi,focused,0.38,76,0.57,0.59,0.83
13,Thunder Avenue,Steel Hearts,rock,intense,0.89,148,0.45,0.64,0.12
14,Moonlit Journal,Velvet Static,indie pop,moody,0.58,102,0.52,0.69,0.44
15,Park Bench Breeze,Blue Umbrella,jazz,relaxed,0.34,88,0.74,0.51,0.91
16,Neon Sprint,Turbo Kids,synthwave,intense,0.87,128,0.63,0.85,0.14
17,Cloud Study Session,Pastel Noise,ambient,chill,0.30,64,0.67,0.43,0.95
18,After Class Glow,Harbor Lights,indie pop,happy,0.72,116,0.79,0.77,0.31
19,Sunset Commute,Metro Vibes,pop,relaxed,0.61,108,0.70,0.75,0.27
20,Night Owl Notes,LoRoom,lofi,chill,0.36,74,0.55,0.57,0.88
21,Candy Skies,Solar Bloom,pop,happy,0.80,120,0.88,0.83,0.15
22,Summer Drive,The Coastal Kids,pop,happy,0.78,115,0.85,0.80,0.20
23,Electric Feelings,Prism Wave,pop,happy,0.83,125,0.82,0.84,0.12
24,Daydream Window,Soft Signal,pop,relaxed,0.55,100,0.72,0.70,0.30
25,Cityscape Girl,Urban Glow,pop,happy,0.77,118,0.87,0.81,0.22
26,Last Train Home,The Station Kids,pop,moody,0.62,105,0.50,0.68,0.35
27,Confetti Rain,Glitter Pulse,pop,happy,0.85,130,0.90,0.87,0.08
28,Late Night Glow,Neon Echo,pop,relaxed,0.58,104,0.68,0.72,0.28
29,Chasing Horizons,Metro Vibes,pop,intense,0.88,135,0.75,0.86,0.10
30,Pink Lemonade,Fizzy Sound,pop,happy,0.81,122,0.89,0.82,0.17
31,Midnight Pop,Voltage,pop,moody,0.65,108,0.55,0.71,0.25
32,Golden Ticket,City Bloom,pop,happy,0.84,126,0.88,0.85,0.13
33,Radio Silence,Harbor Lights,pop,moody,0.60,102,0.48,0.65,0.38
34,Dance Floor Dreams,Pulse Factory,pop,happy,0.86,128,0.87,0.88,0.07
35,Quiet Storm,Soft Signal,pop,relaxed,0.52,98,0.65,0.68,0.33
36,Fire and Ice,Prism Wave,pop,intense,0.91,138,0.72,0.84,0.09
37,Bloom Season,Wildflower Wave,pop,happy,0.76,116,0.86,0.80,0.23
38,Downtown Lights,Metro Vibes,pop,happy,0.79,120,0.83,0.82,0.19
39,Satellite Love,Orbit Pop,pop,moody,0.63,106,0.52,0.69,0.32
40,Rush Hour,The Station Kids,pop,intense,0.89,132,0.74,0.85,0.11
41,Cotton Candy Sky,Pastel Pop,pop,happy,0.75,114,0.91,0.78,0.26
42,Neon Heartbeat,Voltage,pop,intense,0.87,130,0.70,0.86,0.10
43,Slow Motion,Harbor Lights,pop,relaxed,0.54,96,0.67,0.66,0.37
44,Glitter Bomb,Pulse Factory,pop,happy,0.82,124,0.85,0.83,0.15
45,Storm Glass,Prism Wave,pop,moody,0.66,110,0.47,0.70,0.30
46,Morning Pages,Cafe Static,lofi,chill,0.33,70,0.62,0.55,0.85
47,Rain on Glass,Paper Lanterns,lofi,chill,0.38,76,0.58,0.60,0.82
48,Study Break,Quiet Circuit,lofi,focused,0.41,80,0.55,0.58,0.79
49,Dusty Vinyl,LoRoom,lofi,relaxed,0.30,68,0.64,0.52,0.88
50,Amber Light,Slow Frequency,lofi,chill,0.36,74,0.61,0.57,0.86
51,Blanket Fort,Cozy Beats,lofi,chill,0.32,72,0.66,0.54,0.90
52,Late Assignment,Paper Lanterns,lofi,focused,0.43,82,0.53,0.61,0.77
53,Sunday Brew,Cafe Static,lofi,relaxed,0.28,66,0.68,0.50,0.92
54,Pencil Sketch,Quiet Circuit,lofi,focused,0.40,78,0.57,0.59,0.80
55,Foggy Morning,Slow Frequency,lofi,chill,0.34,71,0.60,0.56,0.87
56,Textbook Dreams,Cozy Beats,lofi,focused,0.42,80,0.54,0.60,0.81
57,Vinyl Crackle,LoRoom,lofi,chill,0.37,75,0.59,0.58,0.84
58,Moonbeam Study,Paper Lanterns,lofi,focused,0.39,77,0.56,0.57,0.83
59,Sleepy Afternoon,Cafe Static,lofi,chill,0.31,69,0.63,0.53,0.89
60,Rooftop Garden,Cozy Beats,lofi,relaxed,0.29,67,0.67,0.51,0.91
61,Dorm Room Drift,Quiet Circuit,lofi,chill,0.35,73,0.61,0.55,0.86
62,Code and Coffee,Slow Frequency,lofi,focused,0.44,83,0.52,0.62,0.76
63,Midnight Read,LoRoom,lofi,focused,0.38,76,0.55,0.58,0.82
64,Autumn Pages,Cafe Static,lofi,chill,0.33,71,0.64,0.54,0.88
65,Soft Pencil Lines,Paper Lanterns,lofi,relaxed,0.27,65,0.69,0.49,0.93
66,Broken Circuit,Steel Hearts,rock,intense,0.88,145,0.44,0.62,0.13
67,Mountain Echo,Cliff Edge,rock,intense,0.85,140,0.47,0.63,0.15
68,Rust and Fire,Voltline,rock,intense,0.92,155,0.42,0.65,0.08
69,Glass Highway,The Shredders,rock,intense,0.87,142,0.46,0.64,0.12
70,Static Mind,Gravel Sound,rock,moody,0.72,118,0.38,0.68,0.20
71,Empty Warehouse,Steel Hearts,rock,moody,0.68,112,0.35,0.65,0.25
72,Concrete Dreams,Voltline,rock,moody,0.70,115,0.40,0.67,0.22
73,Paper Walls,The Shredders,rock,moody,0.65,108,0.37,0.63,0.28
74,Summer Anthem,Cliff Edge,rock,happy,0.80,130,0.72,0.75,0.18
